meet_id,athlete_name,gym,level,division,aa_score,aa_place,vault,vault_place,bars,bars_place,beam,beam_place,floor,floor_place,session
MSO-36315,Maci Taylor,TFZ IN,3,Child C,37.95,1,9.5,2,9.475,1,9.45,1,9.525,2,02
MSO-36315,Luz Gonzalez,TFZ IN,3,Child D,37.6,1,9.525,2,9.3,3T,9.6,1,9.175,6,02
MSO-36315,Myka Kemper,TFZ IN,3,Child B,37.4,2,9.15,2,9.35,2,9.5,1T,9.4,1T,02
MSO-36315,Sammi Buckhorn,TFZ IN,5,Senior A,37.375,2,9.5,1T,9.3,2,9.075,4,9.5,1T,05
MSO-36315,Emmy Gibbs,TFZ IN,3,Junior A,37.175,1,9.3,3T,9.2,4,9.35,1,9.325,5,02
MSO-36315,Ash Daily,TFZ IN,3,Junior A,37.125,2,9.425,2,9.6,1,8.8,9T,9.3,6,02
MSO-36315,Maeve Riley,TFZ IN,3,Junior A,37.05,3,9.125,6,9.325,2,9.05,4,9.55,1,02
MSO-36315,Mackenzie Harrison,TFZ IN,4,Child A,36.7,7,9.15,5,9.075,5,9.175,8,9.3,6,03
MSO-36315,Maribel Murphy,TFZ IN,3,Child C,36.475,4,8.65,10T,9.35,2,9.275,3,9.2,3,02
MSO-36315,Lana Jakovljevic,TFZ IN,5,Junior A,36.425,2,9.075,6,9.0,2,9.2,1T,9.15,5T,05
MSO-36315,Fiona Slimp,TFZ IN,4,Child B,36.35,6,8.9,8,8.95,6,9.275,6,9.225,7T,03
MSO-36315,Madelyn Todd,TFZ IN,4,Junior C,36.1,6,9.125,4T,9.125,5,8.8,7,9.05,9,03
MSO-36315,Elcee Mullin,TFZ IN,5,Junior B,36.05,9,9.4,6T,8.825,7,8.525,9,9.3,8,05
MSO-36315,Kilee Rife,TFZ IN,5,Junior A,35.975,5,9.2,5,8.875,3,8.525,7,9.375,3,05
MSO-36315,Kalea Cornelius,TFZ IN,5,Junior B,35.95,10,9.4,6T,8.7,8T,8.425,10,9.425,3,05
MSO-36315,Elizabeth Bockelman,TFZ IN,4,Child B,35.65,8,8.875,9,8.2,9,9.45,4T,9.125,9T,03
MSO-36315,MacKenzie Barnett,TFZ IN,3,Junior A,35.375,9,9.3,3T,8.0,11,8.85,7,9.225,7,02
MSO-36315,Jade Courtney,TFZ IN,3,Junior B,35.275,8,9.275,3,9.1,6,8.9,7,8.0,12,02
MSO-36315,Miera Wuensch,TFZ IN,3,Junior A,35.2,10,9.05,7,7.85,12,9.2,2,9.1,8,02
MSO-36315,Mercy Sededji,TFZ IN,3,Child A,35.025,10,8.95,8,8.125,11,8.9,7,9.05,7,02
MSO-36315,Linkyn Nahrwold,TFZ IN,5,Junior A,35.0,7,8.65,8,8.575,6,8.925,4,8.85,8,05
MSO-36315,Kayla Nicholson,TFZ IN,3,Child C,34.95,8,8.65,10T,8.75,9,8.7,7,8.85,7T,02
MSO-36315,Harrison Carney,TFZ IN,3,Junior A,34.575,11,8.825,10,8.9,6,9.0,6,7.85,12,02
MSO-36315,Maya Williamson,TFZ IN,5,Senior B,34.55,4T,9.1,3,8.4,5,8.475,6,8.575,5,05
MSO-36315,Harlow McIntire,TFZ IN,5,Senior B,34.55,4T,9.1,3,7.8,6,8.625,5,9.025,3,05
MSO-36315,Marlowe Weimer,TFZ IN,5,Senior A,34.275,8,9.15,7T,7.45,10,8.55,6,9.125,7,05
MSO-36315,Charlotte Connors,TFZ IN,5,Senior A,17.4,10,,,9.4,1,8.0,9,,,05
